latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-34.92411,-58.42739,303.6,2.82,1.6,2026-01-21,00:41,T,56,6.1NRT,289.84,27.11,N
-34.92117,-58.43293,300.16,2.82,1.6,2026-01-21,00:41,T,20,6.1NRT,289.72,17.87,N
-26.22295,-54.42033,325.36,1.21,1.09,2026-01-21,00:43,T,100,6.1NRT,292.65,30.12,N
-27.38568,-49.24796,302.68,1.08,1.04,2026-01-21,00:43,T,51,6.1NRT,283.58,8.6,N
-27.63874,-57.10297,301.24,1.86,1.33,2026-01-21,00:43,T,39,6.1NRT,290.14,11.33,N
-26.23124,-54.40694,312.41,1.21,1.09,2026-01-21,00:43,T,85,6.1NRT,292.62,13.69,N
-26.21738,-54.37284,304.02,1.21,1.09,2026-01-21,00:43,T,58,6.1NRT,291.96,6.97,N
-26.21877,-54.38465,305.42,1.21,1.09,2026-01-21,00:43,T,64,6.1NRT,292.02,7.99,N
-26.22154,-54.40835,321.15,1.21,1.09,2026-01-21,00:43,T,100,6.1NRT,293.53,23.86,N
-23.18975,-61.32252,302.68,3.34,1.72,2026-01-21,00:45,T,51,6.1NRT,289.96,27.17,N
-22.67309,-59.86115,303.46,2.55,1.54,2026-01-21,00:45,T,55,6.1NRT,291.51,19.56,N
-23.60454,-48.2645,315.53,1.35,1.15,2026-01-21,00:45,T,91,6.1NRT,287.63,23.67,N
-23.58596,-58.12101,304.27,1.95,1.36,2026-01-21,00:45,T,59,6.1NRT,292.6,14.84,N
-23.18714,-61.29076,303.31,3.32,1.72,2026-01-21,00:45,T,54,6.1NRT,288.19,29.01,N
-22.69596,-59.66584,302.1,2.47,1.51,2026-01-21,00:45,T,47,6.1NRT,292.02,16.75,N
-22.65726,-57.48446,305.86,1.7,1.28,2026-01-21,00:45,T,66,6.1NRT,293.5,13.63,N
-22.66318,-59.84436,304.48,2.54,1.53,2026-01-21,00:45,T,52,6.1NRT,292.84,19.28,N
-19.21018,-53.44164,323.59,1,1,2026-01-21,00:47,T,100,6.1NRT,293.75,20.46,N
-19.66244,-56.95104,307.17,1.42,1.18,2026-01-21,00:47,T,33,6.1NRT,294.2,9.71,N
-19.67705,-56.89545,308.76,1.41,1.18,2026-01-21,00:47,T,75,6.1NRT,293.9,12.67,N
-20.33155,-57.9155,310.31,1.69,1.28,2026-01-21,00:47,T,44,6.1NRT,295.39,15.47,N
-20.32979,-57.89966,322.86,1.69,1.28,2026-01-21,00:47,T,100,6.1NRT,295.82,39.74,N
-20.49318,-59.30704,307.42,2.16,1.43,2026-01-21,00:47,T,71,6.1NRT,293.61,20.74,N
-20.34286,-57.9141,308.83,1.69,1.28,2026-01-21,00:47,T,43,6.1NRT,295.19,13.77,N
-20.34109,-57.89825,321.77,1.69,1.28,2026-01-21,00:47,T,100,6.1NRT,295.56,37.76,N
-20.35239,-57.89685,308.65,1.69,1.28,2026-01-21,00:47,T,60,6.1NRT,294.48,14.26,N
-20.53927,-58.3636,326.67,1.84,1.33,2026-01-21,00:47,T,100,6.1NRT,294.39,58.38,N
-20.53744,-58.34637,319.98,1.83,1.33,2026-01-21,00:47,T,99,6.1NRT,294.26,40.77,N
-20.72972,-55.15797,311.35,1.15,1.07,2026-01-21,00:47,T,82,6.1NRT,295.07,11.21,N
-21.44426,-59.58801,306.94,2.34,1.48,2026-01-21,00:47,T,70,6.1NRT,293.7,21.79,N
-21.44204,-59.56602,311.35,2.33,1.48,2026-01-21,00:47,T,82,6.1NRT,293.94,31.62,N
-21.44194,-59.58287,311.91,2.34,1.48,2026-01-21,00:47,T,84,6.1NRT,293.82,32.11,N
-21.43988,-59.56086,303.95,2.33,1.48,2026-01-21,00:47,T,47,6.1NRT,293.82,13.11,N
-20.72026,-48.78936,303.02,1.39,1.17,2026-01-21,00:47,T,53,6.1NRT,288.19,9.31,N
-22.45982,-62.12064,304.54,3.75,1.81,2026-01-21,00:47,T,60,6.1NRT,292.02,35.44,N
-22.45694,-62.08523,303.77,3.73,1.81,2026-01-21,00:47,T,57,6.1NRT,291.95,32.48,N
-22.46831,-62.11339,308.35,3.75,1.81,2026-01-21,00:47,T,74,6.1NRT,291.86,49.15,N
-22.36145,-59.82131,306.17,2.51,1.52,2026-01-21,00:47,T,67,6.1NRT,293.08,24.58,N
-22.02383,-56.34535,311.52,1.39,1.17,2026-01-21,00:47,T,83,6.1NRT,294.29,14.87,N
-22.02022,-56.34011,308.96,1.39,1.17,2026-01-21,00:47,T,76,6.1NRT,294.36,12.69,N
-20.99738,-48.85193,304.73,1.36,1.16,2026-01-21,00:47,T,61,6.1NRT,290.02,9.44,N
-20.99531,-48.8393,306.63,1.37,1.16,2026-01-21,00:47,T,69,6.1NRT,290.15,11.28,N
-20.98803,-48.84649,305.19,1.37,1.16,2026-01-21,00:47,T,48,6.1NRT,290.59,9.36,N
-15.97543,-56.27839,310.28,1.17,1.08,2026-01-21,00:47,T,79,6.1NRT,292.85,9.66,N
-16.07286,-56.58658,307.26,1.22,1.1,2026-01-21,00:47,T,69,6.1NRT,293.21,7.35,N
-18.93918,-58.23312,305.06,1.71,1.28,2026-01-21,00:47,T,62,6.1NRT,295.01,9.26,N
-18.93737,-58.2173,330.74,1.7,1.28,2026-01-21,00:47,T,100,6.1NRT,296.26,60.97,N
-18.93926,-58.22754,320.2,1.71,1.28,2026-01-21,00:47,T,100,6.1NRT,295.47,34.25,N
-18.93755,-58.2117,322.35,1.7,1.28,2026-01-21,00:47,T,100,6.1NRT,295.93,38.91,N
-19.39361,-57.27969,306.22,1.48,1.2,2026-01-21,00:47,T,66,6.1NRT,295.37,9.76,N
-19.42713,-57.28938,310.63,1.49,1.2,2026-01-21,00:47,T,54,6.1NRT,294.58,14.35,N
-18.93693,-53.39794,302.91,1,1,2026-01-21,00:47,T,52,6.1NRT,292.65,4.56,N
-19.43778,-57.288,304.31,1.49,1.2,2026-01-21,00:47,T,14,6.1NRT,293.75,7.56,N
-15.01874,-57.86012,302.83,1.42,1.18,2026-01-21,00:47,T,52,6.1NRT,287.85,6.2,N
